orderdate,revenue,productline,customername,city,country,month
2003-02-17,2097.6000000000004,Planes,Rovelli Gifts,Bergamo,Italy,2003-02
2003-02-24,2440.5,Motorcycles,Land of Toys Inc.,NYC,USA,2003-02
2003-02-24,4128.54,Motorcycles,Land of Toys Inc.,NYC,USA,2003-02
2003-02-24,4653.72,Motorcycles,Land of Toys Inc.,NYC,USA,2003-02
2003-02-24,2562.0,Motorcycles,Land of Toys Inc.,NYC,USA,2003-02
2003-02-24,1528.3000000000002,Motorcycles,Land of Toys Inc.,NYC,USA,2003-02
2003-02-24,2423.0,Motorcycles,Land of Toys Inc.,NYC,USA,2003-02
2003-02-24,2778.5600000000004,Motorcycles,Land of Toys Inc.,NYC,USA,2003-02
2003-02-24,1778.0,Motorcycles,Land of Toys Inc.,NYC,USA,2003-02
2003-03-03,5457.54,Classic Cars,Cruz & Sons Co.,Makati City,Philippines,2003-03
2003-03-03,4333.5,Classic Cars,Cruz & Sons Co.,Makati City,Philippines,2003-03
2003-03-03,2956.59,Classic Cars,Cruz & Sons Co.,Makati City,Philippines,2003-03
2003-03-03,3855.6,Classic Cars,Cruz & Sons Co.,Makati City,Philippines,2003-03
2003-03-03,2574.88,Classic Cars,Cruz & Sons Co.,Makati City,Philippines,2003-03
2003-03-03,1902.42,Classic Cars,Cruz & Sons Co.,Makati City,Philippines,2003-03
2003-03-03,3836.41,Classic Cars,Cruz & Sons Co.,Makati City,Philippines,2003-03
2003-03-03,2272.1200000000003,Motorcycles,Cruz & Sons Co.,Makati City,Philippines,2003-03
2003-03-03,6154.280000000001,Classic Cars,Cruz & Sons Co.,Makati City,Philippines,2003-03
2003-03-03,2254.35,Motorcycles,Cruz & Sons Co.,Makati City,Philippines,2003-03
2003-03-03,1800.3,Classic Cars,Cruz & Sons Co.,Makati City,Philippines,2003-03
2003-03-03,5280.0,Classic Cars,Cruz & Sons Co.,Makati City,Philippines,2003-03
2003-03-03,2080.1,Classic Cars,Cruz & Sons Co.,Makati City,Philippines,2003-03
2003-03-03,977.6700000000001,Motorcycles,Cruz & Sons Co.,Makati City,Philippines,2003-03
2003-03-03,2720.56,Motorcycles,Cruz & Sons Co.,Makati City,Philippines,2003-03
2003-03-03,2544.8999999999996,Motorcycles,Cruz & Sons Co.,Makati City,Philippines,2003-03
2003-03-10,3054.48,Classic Cars,Motor Mint Distributors Inc.,Philadelphia,USA,2003-03
2003-03-10,5243.24,Classic Cars,Motor Mint Distributors Inc.,Philadelphia,USA,2003-03
2003-03-10,3294.72,Classic Cars,Motor Mint Distributors Inc.,Philadelphia,USA,2003-03
2003-03-10,7400.02,Classic Cars,Motor Mint Distributors Inc.,Philadelphia,USA,2003-03
2003-03-10,5909.78,Classic Cars,Motor Mint Distributors Inc.,Philadelphia,USA,2003-03
2003-03-10,930.9000000000001,Classic Cars,Motor Mint Distributors Inc.,Philadelphia,USA,2003-03
2003-03-18,4374.14,Classic Cars,"AV Stores, Co.",Manchester,UK,2003-03
2003-03-18,6426.0,Vintage Cars,"AV Stores, Co.",Manchester,UK,2003-03
2003-03-18,1646.72,Vintage Cars,"AV Stores, Co.",Manchester,UK,2003-03
2003-03-18,3817.77,Vintage Cars,"AV Stores, Co.",Manchester,UK,2003-03
2003-03-18,5074.39,Vintage Cars,"AV Stores, Co.",Manchester,UK,2003-03
2003-03-18,2293.48,Vintage Cars,"AV Stores, Co.",Manchester,UK,2003-03
2003-03-18,2604.0,Classic Cars,"AV Stores, Co.",Manchester,UK,2003-03
2003-03-18,2592.72,Classic Cars,"AV Stores, Co.",Manchester,UK,2003-03
2003-03-18,1254.8300000000002,Classic Cars,"AV Stores, Co.",Manchester,UK,2003-03
2003-03-18,577.6,Vintage Cars,"AV Stores, Co.",Manchester,UK,2003-03
2003-03-18,1590.0300000000002,Vintage Cars,"AV Stores, Co.",Manchester,UK,2003-03
2003-03-18,3555.67,Classic Cars,"AV Stores, Co.",Manchester,UK,2003-03
2003-03-18,5186.04,Classic Cars,"AV Stores, Co.",Manchester,UK,2003-03
2003-03-18,2172.69,Classic Cars,"AV Stores, Co.",Manchester,UK,2003-03
2003-03-18,3565.69,Classic Cars,"AV Stores, Co.",Manchester,UK,2003-03
2003-03-18,1693.92,Vintage Cars,"AV Stores, Co.",Manchester,UK,2003-03
2003-03-25,2881.89,Vintage Cars,Mini Wheels Co.,San Francisco,USA,2003-03
2003-03-25,2328.96,Vintage Cars,Mini Wheels Co.,San Francisco,USA,2003-03
2003-03-25,1486.52,Vintage Cars,Mini Wheels Co.,San Francisco,USA,2003-03
2003-03-25,4052.75,Vintage Cars,Mini Wheels Co.,San Francisco,USA,2003-03
2003-03-25,3559.5299999999997,Vintage Cars,Mini Wheels Co.,San Francisco,USA,2003-03
2003-03-25,2228.2000000000003,Vintage Cars,Mini Wheels Co.,San Francisco,USA,2003-03
2003-03-24,5717.64,Classic Cars,"Volvo Model Replicas, Co",Luleå,Sweden,2003-03
2003-03-24,1957.3,Vintage Cars,"Volvo Model Replicas, Co",Luleå,Sweden,2003-03
2003-03-26,2554.44,Trucks and Buses,Mini Gifts Distributors Ltd.,San Rafael,USA,2003-03
2003-03-26,4973.5,Trucks and Buses,Mini Gifts Distributors Ltd.,San Rafael,USA,2003-03
2003-03-26,2163.5,Vintage Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,2003-03
2003-03-26,1352.86,Trucks and Buses,Mini Gifts Distributors Ltd.,San Rafael,USA,2003-03
2003-04-01,3984.43,Classic Cars,"La Corne D'abondance, Co.",Paris,France,2003-04
2003-04-01,4164.42,Trucks and Buses,"La Corne D'abondance, Co.",Paris,France,2003-04
2003-04-01,2406.6,Trucks and Buses,"La Corne D'abondance, Co.",Paris,France,2003-04
2003-04-01,8128.32,Classic Cars,"La Corne D'abondance, Co.",Paris,France,2003-04
2003-04-01,4318.9400000000005,Trucks and Buses,"La Corne D'abondance, Co.",Paris,France,2003-04
2003-04-01,2146.83,Trucks and Buses,"La Corne D'abondance, Co.",Paris,France,2003-04
2003-04-01,687.36,Classic Cars,"La Corne D'abondance, Co.",Paris,France,2003-04
2003-04-01,2835.52,Trucks and Buses,"La Corne D'abondance, Co.",Paris,France,2003-04
2003-04-01,1227.24,Trucks and Buses,"La Corne D'abondance, Co.",Paris,France,2003-04
2003-04-01,3483.48,Classic Cars,"La Corne D'abondance, Co.",Paris,France,2003-04
2003-04-04,5123.94,Trucks and Buses,Classic Legends Inc.,NYC,USA,2003-04
2003-04-04,6477.26,Classic Cars,Classic Legends Inc.,NYC,USA,2003-04
2003-04-04,2662.08,Classic Cars,Classic Legends Inc.,NYC,USA,2003-04
2003-04-04,4683.8,Classic Cars,Classic Legends Inc.,NYC,USA,2003-04
2003-04-04,2718.9,Trucks and Buses,Classic Legends Inc.,NYC,USA,2003-04
2003-04-11,1627.56,Trains,Royale Belge,Charleroi,Belgium,2003-04
2003-04-16,6445.89,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Singapore,2003-04
2003-04-16,6366.58,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Singapore,2003-04
2003-04-16,6747.780000000001,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Singapore,2003-04
2003-04-16,3160.8199999999997,Vintage Cars,"Dragon Souveniers, Ltd.",Singapore,Singapore,2003-04
2003-04-16,1715.2800000000002,Trains,"Dragon Souveniers, Ltd.",Singapore,Singapore,2003-04
2003-04-16,2685.7599999999998,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Singapore,2003-04
2003-04-16,1695.7900000000002,Vintage Cars,"Dragon Souveniers, Ltd.",Singapore,Singapore,2003-04
2003-04-16,4887.2,Ships,"Dragon Souveniers, Ltd.",Singapore,Singapore,2003-04
2003-04-16,1168.6499999999999,Trains,"Dragon Souveniers, Ltd.",Singapore,Singapore,2003-04
2003-04-16,2863.2999999999997,Ships,"Dragon Souveniers, Ltd.",Singapore,Singapore,2003-04
2003-04-16,4022.1,Ships,"Dragon Souveniers, Ltd.",Singapore,Singapore,2003-04
2003-04-16,2621.0,Ships,"Dragon Souveniers, Ltd.",Singapore,Singapore,2003-04
2003-04-21,3101.4,Ships,Enaco Distributors,Barcelona,Spain,2003-04
2003-04-28,5192.48,Classic Cars,Salzburg Collectables,Salzburg,Austria,2003-04
2003-04-28,6509.34,Planes,Salzburg Collectables,Salzburg,Austria,2003-04
2003-04-28,1571.64,Ships,Salzburg Collectables,Salzburg,Austria,2003-04
2003-04-28,2572.56,Vintage Cars,Salzburg Collectables,Salzburg,Austria,2003-04
2003-04-28,2640.4,Planes,Salzburg Collectables,Salzburg,Austria,2003-04
2003-04-28,2540.2999999999997,Vintage Cars,Salzburg Collectables,Salzburg,Austria,2003-04
2003-04-28,1262.3999999999999,Vintage Cars,Salzburg Collectables,Salzburg,Austria,2003-04
2003-04-28,2876.3,Vintage Cars,Salzburg Collectables,Salzburg,Austria,2003-04
2003-04-28,1738.8,Planes,Salzburg Collectables,Salzburg,Austria,2003-04
2003-04-28,1433.5,Ships,Salzburg Collectables,Salzburg,Austria,2003-04
2003-04-28,2152.67,Ships,Salzburg Collectables,Salzburg,Austria,2003-04
2003-04-28,2554.36,Ships,Salzburg Collectables,Salzburg,Austria,2003-04
2003-04-28,1655.42,Planes,Salzburg Collectables,Salzburg,Austria,2003-04
2003-04-28,1126.1599999999999,Planes,Salzburg Collectables,Salzburg,Austria,2003-04
2003-04-29,3449.2599999999998,Motorcycles,"Australian Collectors, Co.",Melbourne,Australia,2003-04
2003-04-29,7304.8,Motorcycles,"Australian Collectors, Co.",Melbourne,Australia,2003-04
2003-04-29,2400.9100000000003,Planes,"Australian Collectors, Co.",Melbourne,Australia,2003-04
2003-04-29,2646.84,Motorcycles,"Australian Collectors, Co.",Melbourne,Australia,2003-04
2003-04-29,3865.75,Motorcycles,"Australian Collectors, Co.",Melbourne,Australia,2003-04
2003-04-29,3627.3900000000003,Planes,"Australian Collectors, Co.",Melbourne,Australia,2003-04
2003-04-29,2460.24,Motorcycles,"Australian Collectors, Co.",Melbourne,Australia,2003-04
2003-04-29,2080.17,Planes,"Australian Collectors, Co.",Melbourne,Australia,2003-04
2003-04-29,2087.8,Motorcycles,"Australian Collectors, Co.",Melbourne,Australia,2003-04
2003-04-29,1994.91,Vintage Cars,"Australian Collectors, Co.",Melbourne,Australia,2003-04
2003-04-29,2031.54,Vintage Cars,"Australian Collectors, Co.",Melbourne,Australia,2003-04
2003-04-29,4292.9800000000005,Planes,"Australian Collectors, Co.",Melbourne,Australia,2003-04
2003-04-29,1962.48,Planes,"Australian Collectors, Co.",Melbourne,Australia,2003-04
2003-04-29,2562.96,Planes,"Australian Collectors, Co.",Melbourne,Australia,2003-04
2003-04-29,3096.0,Planes,"Australian Collectors, Co.",Melbourne,Australia,2003-04
2003-05-07,2928.42,Motorcycles,Reims Collectables,Reims,France,2003-05
2003-05-07,6326.0,Motorcycles,Reims Collectables,Reims,France,2003-05
2003-05-07,1861.76,Motorcycles,Reims Collectables,Reims,France,2003-05
2003-05-07,2398.25,Motorcycles,Reims Collectables,Reims,France,2003-05
2003-05-07,3186.04,Motorcycles,Reims Collectables,Reims,France,2003-05
2003-05-08,6537.72,Classic Cars,Marseille Mini Autos,Marseille,France,2003-05
2003-05-08,4215.04,Classic Cars,Marseille Mini Autos,Marseille,France,2003-05
2003-05-08,2094.08,Classic Cars,Marseille Mini Autos,Marseille,France,2003-05
2003-05-08,2096.0,Classic Cars,Marseille Mini Autos,Marseille,France,2003-05
2003-05-08,3898.1000000000004,Classic Cars,Marseille Mini Autos,Marseille,France,2003-05
2003-05-08,2681.91,Classic Cars,Marseille Mini Autos,Marseille,France,2003-05
2003-05-08,3527.7999999999997,Classic Cars,Marseille Mini Autos,Marseille,France,2003-05
2003-05-08,3429.2499999999995,Classic Cars,Marseille Mini Autos,Marseille,France,2003-05
2003-05-08,1452.15,Classic Cars,Marseille Mini Autos,Marseille,France,2003-05
2003-05-08,2808.96,Classic Cars,Marseille Mini Autos,Marseille,France,2003-05
2003-05-08,2067.1,Motorcycles,Marseille Mini Autos,Marseille,France,2003-05
2003-05-08,4082.96,Classic Cars,Marseille Mini Autos,Marseille,France,2003-05
2003-05-08,1354.8600000000001,Classic Cars,Marseille Mini Autos,Marseille,France,2003-05
2003-05-08,1727.88,Classic Cars,Marseille Mini Autos,Marseille,France,2003-05
2003-05-08,5857.46,Classic Cars,Marseille Mini Autos,Marseille,France,2003-05
2003-05-08,1945.8999999999999,Classic Cars,Marseille Mini Autos,Marseille,France,2003-05
2003-05-08,1047.49,Motorcycles,Marseille Mini Autos,Marseille,France,2003-05
2003-05-20,3138.46,Classic Cars,Atelier graphique,Nantes,France,2003-05
2003-05-20,5282.64,Classic Cars,Atelier graphique,Nantes,France,2003-05
2003-05-20,3986.84,Classic Cars,Atelier graphique,Nantes,France,2003-05
2003-05-20,2163.5,Classic Cars,Atelier graphique,Nantes,France,2003-05
2003-05-21,3213.0,Vintage Cars,Signal Gift Stores,Las Vegas,USA,2003-05
2003-05-21,2441.04,Vintage Cars,Signal Gift Stores,Las Vegas,USA,2003-05
2003-05-21,4698.54,Vintage Cars,Signal Gift Stores,Las Vegas,USA,2003-05
2003-05-21,2716.56,Vintage Cars,Signal Gift Stores,Las Vegas,USA,2003-05
2003-05-21,1524.44,Classic Cars,Signal Gift Stores,Las Vegas,USA,2003-05
2003-05-21,1374.34,Classic Cars,Signal Gift Stores,Las Vegas,USA,2003-05
2003-05-21,1373.8500000000001,Vintage Cars,Signal Gift Stores,Las Vegas,USA,2003-05
2003-05-21,798.38,Vintage Cars,Signal Gift Stores,Las Vegas,USA,2003-05
2003-05-21,2384.32,Classic Cars,Signal Gift Stores,Las Vegas,USA,2003-05
2003-05-21,2348.75,Classic Cars,Signal Gift Stores,Las Vegas,USA,2003-05
2003-05-21,3733.31,Classic Cars,Signal Gift Stores,Las Vegas,USA,2003-05
2003-05-21,4374.39,Classic Cars,Signal Gift Stores,Las Vegas,USA,2003-05
2003-05-21,1661.06,Vintage Cars,Signal Gift Stores,Las Vegas,USA,2003-05
2003-05-21,2860.16,Vintage Cars,"Australian Collectors, Co.",Melbourne,Australia,2003-05
2003-05-21,4704.92,Vintage Cars,"Australian Collectors, Co.",Melbourne,Australia,2003-05
2003-05-28,7817.74,Classic Cars,"Corrida Auto Replicas, Ltd",Madrid,Spain,2003-05
2003-05-28,2697.6400000000003,Classic Cars,"Corrida Auto Replicas, Ltd",Madrid,Spain,2003-05
2003-05-28,2841.3,Trucks and Buses,"Corrida Auto Replicas, Ltd",Madrid,Spain,2003-05
2003-05-28,4433.46,Trucks and Buses,"Corrida Auto Replicas, Ltd",Madrid,Spain,2003-05
2003-05-28,2150.82,Vintage Cars,"Corrida Auto Replicas, Ltd",Madrid,Spain,2003-05
2003-05-28,2195.15,Trucks and Buses,"Corrida Auto Replicas, Ltd",Madrid,Spain,2003-05
2003-05-28,2889.5099999999998,Vintage Cars,"Corrida Auto Replicas, Ltd",Madrid,Spain,2003-05
2003-05-28,2844.6400000000003,Vintage Cars,"Corrida Auto Replicas, Ltd",Madrid,Spain,2003-05
2003-05-28,2796.0,Vintage Cars,"Corrida Auto Replicas, Ltd",Madrid,Spain,2003-05
2003-05-28,3581.5,Vintage Cars,"Corrida Auto Replicas, Ltd",Madrid,Spain,2003-05
2003-05-28,5146.0,Trucks and Buses,"Corrida Auto Replicas, Ltd",Madrid,Spain,2003-05
2003-05-28,2033.47,Vintage Cars,"Corrida Auto Replicas, Ltd",Madrid,Spain,2003-05
2003-05-28,3312.36,Trucks and Buses,"Corrida Auto Replicas, Ltd",Madrid,Spain,2003-05
2003-05-28,2847.84,Vintage Cars,"Corrida Auto Replicas, Ltd",Madrid,Spain,2003-05
2003-05-28,3561.69,Trucks and Buses,"Corrida Auto Replicas, Ltd",Madrid,Spain,2003-05
2003-05-28,1613.3,Trucks and Buses,"Corrida Auto Replicas, Ltd",Madrid,Spain,2003-05
2003-05-28,4369.5,Classic Cars,"Corrida Auto Replicas, Ltd",Madrid,Spain,2003-05
2003-06-03,8889.5,Classic Cars,Muscle Machine Inc,NYC,USA,2003-06
2003-06-03,6463.0,Classic Cars,Muscle Machine Inc,NYC,USA,2003-06
2003-06-03,7121.52,Classic Cars,Muscle Machine Inc,NYC,USA,2003-06
2003-06-03,2417.52,Trucks and Buses,Muscle Machine Inc,NYC,USA,2003-06
2003-06-03,6336.45,Classic Cars,Muscle Machine Inc,NYC,USA,2003-06
2003-06-03,5136.3,Trucks and Buses,Muscle Machine Inc,NYC,USA,2003-06
2003-06-03,3278.44,Classic Cars,Muscle Machine Inc,NYC,USA,2003-06
2003-06-03,3159.75,Classic Cars,Muscle Machine Inc,NYC,USA,2003-06
2003-06-03,1017.2,Classic Cars,Muscle Machine Inc,NYC,USA,2003-06
2003-06-03,1337.6999999999998,Classic Cars,Muscle Machine Inc,NYC,USA,2003-06
2003-06-03,2152.6,Classic Cars,Muscle Machine Inc,NYC,USA,2003-06
2003-06-03,2093.85,Trucks and Buses,Muscle Machine Inc,NYC,USA,2003-06
2003-06-03,1766.1,Trains,Muscle Machine Inc,NYC,USA,2003-06
2003-06-03,5111.52,Trucks and Buses,Muscle Machine Inc,NYC,USA,2003-06
2003-06-03,2559.9,Trains,Muscle Machine Inc,NYC,USA,2003-06
2003-06-06,4928.2,Vintage Cars,Euro+ Shopping Channel,Madrid,Spain,2003-06
2003-06-06,3307.4700000000003,Trains,Euro+ Shopping Channel,Madrid,Spain,2003-06
2003-06-06,3321.3199999999997,Vintage Cars,Euro+ Shopping Channel,Madrid,Spain,2003-06
2003-06-06,2328.0,Ships,Euro+ Shopping Channel,Madrid,Spain,2003-06
2003-06-12,4084.0800000000004,Classic Cars,"Stylish Desk Decors, Co.",London,UK,2003-06
2003-06-12,5087.7,Ships,"Stylish Desk Decors, Co.",London,UK,2003-06
2003-06-12,3338.63,Vintage Cars,"Stylish Desk Decors, Co.",London,UK,2003-06
2003-06-12,3815.5,Vintage Cars,"Stylish Desk Decors, Co.",London,UK,2003-06
2003-06-12,1818.77,Ships,"Stylish Desk Decors, Co.",London,UK,2003-06
2003-06-12,3252.6,Ships,"Stylish Desk Decors, Co.",London,UK,2003-06
2003-06-12,3786.3,Ships,"Stylish Desk Decors, Co.",London,UK,2003-06
2003-06-12,2830.2000000000003,Ships,"Stylish Desk Decors, Co.",London,UK,2003-06
2003-06-12,1415.36,Ships,"Stylish Desk Decors, Co.",London,UK,2003-06
2003-06-16,2752.7999999999997,Ships,Auto-Moto Classics Inc.,Brickhaven,USA,2003-06
2003-06-16,3284.16,Vintage Cars,Auto-Moto Classics Inc.,Brickhaven,USA,2003-06
2003-06-16,2980.3199999999997,Planes,Gift Ideas Corp.,Glendale,USA,2003-06
2003-06-16,2133.95,Planes,Gift Ideas Corp.,Glendale,USA,2003-06
2003-06-16,1525.4,Vintage Cars,Gift Ideas Corp.,Glendale,USA,2003-06
2003-06-16,2729.5,Planes,Gift Ideas Corp.,Glendale,USA,2003-06
2003-06-16,1692.6799999999998,Ships,Gift Ideas Corp.,Glendale,USA,2003-06
2003-06-16,3470.4,Planes,Gift Ideas Corp.,Glendale,USA,2003-06
2003-06-16,1655.42,Planes,Gift Ideas Corp.,Glendale,USA,2003-06
2003-06-16,844.62,Planes,Gift Ideas Corp.,Glendale,USA,2003-06
2003-06-25,2880.0,Planes,"Down Under Souveniers, Inc",Auckland  ,New Zealand,2003-06
2003-06-27,3932.7400000000002,Planes,Euro+ Shopping Channel,Madrid,Spain,2003-06
2003-06-27,4486.22,Planes,Euro+ Shopping Channel,Madrid,Spain,2003-06
2003-06-27,2832.68,Planes,Euro+ Shopping Channel,Madrid,Spain,2003-06
2003-06-27,1860.9299999999998,Motorcycles,Euro+ Shopping Channel,Madrid,Spain,2003-06
2003-06-27,3303.0899999999997,Vintage Cars,Euro+ Shopping Channel,Madrid,Spain,2003-06
2003-06-27,1001.4300000000001,Vintage Cars,Euro+ Shopping Channel,Madrid,Spain,2003-06
2003-06-27,1841.52,Planes,Euro+ Shopping Channel,Madrid,Spain,2003-06
2003-06-27,3107.4300000000003,Planes,Euro+ Shopping Channel,Madrid,Spain,2003-06
2003-07-01,3727.7200000000003,Motorcycles,Lyon Souveniers,Paris,France,2003-07
2003-07-01,3147.12,Motorcycles,Lyon Souveniers,Paris,France,2003-07
2003-07-01,5823.349999999999,Motorcycles,Lyon Souveniers,Paris,France,2003-07
2003-07-01,2620.7999999999997,Motorcycles,Lyon Souveniers,Paris,France,2003-07
2003-07-01,1544.3999999999999,Motorcycles,Lyon Souveniers,Paris,France,2003-07
2003-07-01,3313.4500000000003,Motorcycles,Lyon Souveniers,Paris,France,2003-07
2003-07-01,3242.6299999999997,Motorcycles,Lyon Souveniers,Paris,France,2003-07
2003-07-02,7273.139999999999,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,2003-07
2003-07-02,5298.72,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,2003-07
2003-07-02,1742.88,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,2003-07
2003-07-02,3005.56,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,2003-07
